movie_title,release_date,genre,MPAA_rating,directors,animated,revenue
Recess: School's Out,16-Feb-01,Comedy,G,Chuck Sheetz,Yes,"$54,656,124 "
D2: The Mighty Ducks,25-Mar-94,Comedy,PG,Sam Weisman,NO,"$94,226,333 "
Home on the Range,2-Apr-04,Comedy,PG,Will Finn,Yes,"$67,910,166 "
Young Black Stallion,25-Dec-03,Adventure,G,Simon Wincer,NO,"$9,254,344 "
What's Love Got to Do With It,9-Jun-93,Drama,R,Brian Gibson,NO,"$79,618,610 "
Lady and the Tramp,22-Jun-55,Drama,G,Hamilton Luske,NO,"$1,236,035,515 "
Corky Romano,12-Oct-01,Comedy,PG-13,Rob Pritts,NO,"$35,705,805 "
The Waterboy,6-Nov-98,Comedy,PG-13,Frank Coraci,NO,"$288,691,833 "
Captain America: The Winter Soldier,4-Apr-14,Action,PG-13,Anthony Russo,NO,"$268,013,076 "
Pirates of the Caribbean: Dead Man’…,7-Jul-06,Adventure,PG-13,Gore Verbinski,NO,"$544,817,142 "
Ladder 49,1-Oct-04,Action,PG-13,Jay Russell,NO,"$101,161,045 "
Coyote Ugly,4-Aug-00,Drama,PG-13,David McNally,NO,"$95,070,168 "
The Sixth Man,28-Mar-97,Comedy,PG-13,Randall Miller,NO,"$27,117,599 "
Dick Tracy,15-Jun-90,Action,PG,Warren Beatty,NO,"$207,231,621 "
Sister Act 2 Back in the Habit,10-Dec-93,Comedy,PG,Bill Duke,NO,"$116,965,668 "
DuckTales: The Movie - Treasure of th…,3-Aug-90,Adventure,G,Bob Hathcock,Yes,"$36,107,823 "
Blame it on the Bellboy,6-Mar-92,Comedy,PG-13,Mark Herman,NO,"$5,872,667 "
The Hunchback of Notre Dame,21-Jun-96,Adventure,G,Gary Trousdale,Yes,"$190,988,799 "
Ernest Goes to Jail,6-Apr-90,Comedy,PG,John R. Cherry III,NO,"$49,999,822 "
Ant-Man,17-Jul-15,Action,PG-13,Peyton Reed,NO,"$180,202,163 "
The Shaggy Dog,10-Mar-06,Comedy,PG,Brian Robbins,NO,"$78,667,428 "
